Title,Rating,Voting,Duration,Genre
Twisters,6.5,168000,122,Action
Gladiator II,6.5,229000,148,Action
Sonic the Hedgehog 3,6.9,59000,110,Action
Kraven the Hunter,5.5,54000,127,Action
Deadpool & Wolverine,7.6,491000,128,Action
Civil War,7.0,237000,109,Action
Dune: Part Two,8.5,624000,166,Action
The Ministry of Ungentlemanly Warfare,6.8,135000,122,Action
Venom: The Last Dance,6.0,117000,110,Action
The Beekeeper,6.3,156000,105,Action
The Count of Monte-Cristo,7.6,34000,178,Action
Freaky Tales,7.2,1200,107,Action
Furiosa: A Mad Max Saga,7.5,285000,148,Action
Transformers One,7.6,50000,104,Action
Carry-On,6.5,165000,119,Action
Borderlands,4.7,48000,101,Action
Fight or Flight,6.4,6900,97,Action
The Fall Guy,6.8,220000,126,Action
The Crow,4.7,35000,111,Action
Road House,6.2,168000,121,Action
Rebel Ridge,6.8,88000,131,Action
Pushpa: The Rule - Part 2,6.1,56000,201,Action
Madame Web,4.0,101000,116,Action
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Action
Elevation,5.6,22000,91,Action
Absolution,5.2,8100,112,Action
Bad Boys: Ride or Die,6.5,100000,115,Action
Red One,6.3,140000,123,Action
Solo Leveling: ReAwakening,8.7,12000,121,Action
Love Lies Bleeding,6.6,57000,104,Action
Argylle,5.6,92000,139,Action
Damsel,6.1,109000,110,Action
William Tell,5.7,2500,133,Action
The Union,5.4,53000,107,Action
Godzilla x Kong: The New Empire,6.0,121000,115,Action
Kingdom of the Planet of the Apes,6.9,151000,145,Action
Land of Bad,6.6,51000,113,Action
Hellboy: The Crooked Man,4.5,13000,99,Action
Kung Fu Panda 4,6.3,68000,94,Action
Werewolves,4.4,6600,93,Action
Homestead,5.3,3600,112,Action
Survive,4.5,2500,90,Action
Monkey Man,6.8,91000,121,Action
Aftermath,5.1,4000,97,Action
The Killer's Game,5.8,17000,104,Action
The Instigators,6.2,38000,101,Action
Beverly Hills Cop: Axel F,6.4,81000,118,Action
Lift,5.5,49000,107,Action
Gunner,3.2,2700,106,Action
Classified,3.7,2500,105,Action
Blitz,6.2,16000,120,Action
Uglies,4.7,33000,100,Action
Maharaja,8.4,67000,141,Action
The Killer,5.7,13000,126,Action
Old Guy,5.2,2400,94,Action
Drive-Away Dolls,5.4,23000,84,Action
Attack on Titan the Movie: The Last Attack,9.2,16000,145,Action
Thelma,7.0,22000,98,Action
Atlas,5.6,56000,118,Action
Azrael,5.4,11000,86,Action
Descendants: The Rise of Red,4.7,7000,91,Action
Arcadian,5.5,23000,92,Action
Toofan,7.4,8100,145,Action
Watchmen: Chapter I,7.0,6600,83,Action
Marco,6.8,21000,145,Action
Apocalypse Z: The Beginning of the End,6.1,20000,117,Action
Dirty Angels,4.3,3400,104,Action
Canary Black,5.3,11000,101,Action
Cash Out,4.8,3000,92,Action
Trigger Warning,4.6,19000,106,Action
Under Paris,5.2,36000,104,Action
Kalki 2898-AD,7.0,66000,180,Action
Armor,3.6,4000,89,Action
Long Gone Heroes,5.2,1100,101,Action
Trouble,6.2,6800,98,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
Jackpot!,5.8,30000,106,Action
11 Rebels,6.3,413,155,Action
Twilight of the Warriors: Walled In,7.0,9500,126,Action
Brothers,5.4,13000,89,Action
Amaran,8.1,18000,167,Action
The Shadow Strays,6.5,9200,144,Action
Duchess,4.6,1400,114,Action
The Silent Hour,6.1,7400,99,Action
The Fix,4.6,1200,98,Action
Red Right Hand,5.5,5900,111,Action
Weekend in Taipei,5.7,4700,100,Action
Hitpig,5.1,940,86,Action
Alien: Rubicon,2.4,343,86,Action
Watchmen: Chapter II,7.0,3100,90,Action
Hounds of War,4.5,1800,95,Action
Harbin,6.2,644,108,Action
Fighter,6.2,52000,166,Action
Uprising,6.6,5600,126,Action
No Way Up,4.6,11000,90,Action
Boneyard,4.1,5000,96,Action
Role Play,5.5,19000,100,Action
Hagen,6.1,1200,139,Action
Cloud,6.3,1200,124,Action
Damaged,4.7,7300,97,Action
Bangkok Dog,4.8,198,85,Action
Megamind vs. The Doom Syndicate,2.5,5600,83,Action
Chief of Station,4.7,4600,97,Action
Take Cover,5.1,2500,90,Action
Relay,7.5,107,112,Action
The Prosecutor,6.7,1900,117,Action
Karma,7.9,1400,167,Action
Baby John,5.2,17000,159,Action
The Courier,6.0,4400,101,Action
Viduthalai Part 2,7.9,16000,170,Action
The Thundermans Return,5.0,1800,70,Action
Hanu Man,7.7,29000,158,Action
Revolver,5.4,865,114,Action
Singham Again,4.7,75000,144,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Action
Baby Invasion,4.6,455,80,Action
My Spy: The Eternal City,5.7,11000,112,Action
Pusaka,5.2,125,90,Action
The Roundup: Punishment,6.6,5300,109,Action
Sikandar ka Muqaddar,6.0,24000,142,Action
River of Blood,5.2,1800,86,Action
Levels,5.0,1500,93,Action
Darkness of Man,4.8,3200,109,Action
The Quiet Ones,6.3,690,110,Action
One More Shot,5.4,3700,103,Action
Zero,6.2,67,88,Action
"I, the Executioner",6.4,1700,118,Action
Jigra,6.0,24000,153,Action
Prey,3.7,3300,86,Action
Devara Part 1,6.0,20000,176,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Action
Badland Hunters,5.9,12000,107,Action
The Last of Us: Immunity,5.5,17,64,Action
